total_steps,episode,episode_reward,win,team_hp,opp_hp,fainted_self,fainted_opp,intent_agent,intent_expert,intent_match,ep_intent_total,ep_intent_matches,ep_imitation_accuracy,ep_turns,bias_mean,bias_abs_mean,bias_std,bias_mean_normalised,bias_abs_mean_normalised,bias_std_normalised,average_discounted_return,bias_segments
1,1,20.0,False,0.0,0.17833333333333332,6,2,ATTACK,ATTACK,1,20,20,1.0,11,6.417654086125173,6.417654086125173,3.5296950654720702,0.6506181016770551,0.6506181016770551,0.3578384674800802,9.863934110629282,"{'bias_segment_0_end': {'mean': 0.6506181016770551, 'abs_mean': 0.6506181016770551, 'std': 0.3578384674800802}}"
1,2,24.0,True,0.3056558363417569,0.0,4,6,ATTACK,ATTACK,1,24,24,1.0,15,3.848927317730695,4.1752301839600205,4.161931353417218,0.3320263913069957,0.36017479583730777,0.359027576794384,11.59223308297782,"{'bias_segment_0_end': {'mean': 0.3320263913069957, 'abs_mean': 0.36017479583730777, 'std': 0.359027576794384}}"
1,3,31.0,False,0.0,0.06166666666666667,6,5,ATTACK,ATTACK,1,31,31,1.0,20,1.7200431647324295,4.14457992870914,5.493355191314477,0.11854366351702476,0.2856403249419265,0.378596574045853,14.509785792856013,"{'bias_segment_0_end': {'mean': 0.11854366351702476, 'abs_mean': 0.2856403249419265, 'std': 0.378596574045853}}"
1,4,26.0,True,0.47515151515151516,0.0,3,6,ATTACK,ATTACK,1,26,26,1.0,18,5.556017164366552,5.632483666807487,3.6731103493789927,0.4466429277494029,0.4527899970464558,0.29527784235711746,12.439505518116826,"{'bias_segment_0_end': {'mean': 0.4466429277494029, 'abs_mean': 0.4527899970464558, 'std': 0.29527784235711746}}"
1,5,29.0,True,0.5615819209039548,0.0,2,6,ATTACK,ATTACK,1,29,29,1.0,22,9.456297273968161,9.60746264202814,4.760794129422269,0.6907557726548497,0.7017979752831844,0.3477625472258206,13.689783926993247,"{'bias_segment_0_end': {'mean': 0.6907557726548497, 'abs_mean': 0.7017979752831844, 'std': 0.3477625472258206}}"
1,6,33.0,True,0.1804232804232804,0.0,4,6,ATTACK,ATTACK,1,33,33,1.0,24,1.2288198932673071,3.5555522654054377,4.313674940667167,0.08021457514354717,0.23209838637282895,0.2815869148675254,15.319159779482533,"{'bias_segment_0_end': {'mean': 0.08021457514354717, 'abs_mean': 0.23209838637282895, 'std': 0.2815869148675254}}"
1,7,26.0,True,0.4204647006255586,0.0,3,6,ATTACK,ATTACK,1,26,26,1.0,16,4.62465886364399,4.7326709835295855,4.308807497797536,0.3717719210710315,0.3804549125073299,0.3463809306183605,12.439505518116826,"{'bias_segment_0_end': {'mean': 0.3717719210710315, 'abs_mean': 0.3804549125073299, 'std': 0.3463809306183605}}"
1,8,29.0,True,0.05123216601815824,0.0,5,6,ATTACK,ATTACK,1,29,29,1.0,19,1.8772162812366058,3.8611667027641605,5.22236810237343,0.13712534041791177,0.2820473079309008,0.3814792205796665,13.689783926993247,"{'bias_segment_0_end': {'mean': 0.13712534041791177, 'abs_mean': 0.2820473079309008, 'std': 0.3814792205796665}}"
1,9,30.0,True,0.0628245067497404,0.0,5,6,ATTACK,ATTACK,1,30,30,1.0,20,3.4262108679677223,4.026548204529818,4.354432047742921,0.24297432303562744,0.2855480476443258,0.3088003686219539,14.101123218132539,"{'bias_segment_0_end': {'mean': 0.24297432303562744, 'abs_mean': 0.2855480476443258, 'std': 0.3088003686219539}}"
1,10,23.0,True,0.16418835192069392,0.0,5,6,ATTACK,ATTACK,1,23,23,1.0,14,4.642886420925626,4.642886420925626,3.018777712436653,0.4158649509830098,0.4158649509830098,0.2703929692858583,11.164409046616939,"{'bias_segment_0_end': {'mean': 0.4158649509830098, 'abs_mean': 0.4158649509830098, 'std': 0.2703929692858583}}"
1,11,29.0,False,0.0,0.09166666666666667,6,5,ATTACK,ATTACK,1,29,29,1.0,19,2.6714053561804114,3.7526114117936404,4.288060721352274,0.1951386063086786,0.274117650929049,0.31323070869637026,13.689783926993247,"{'bias_segment_0_end': {'mean': 0.1951386063086786, 'abs_mean': 0.274117650929049, 'std': 0.31323070869637026}}"
1,12,24.0,True,0.3333333333333333,0.0,4,6,ATTACK,ATTACK,1,24,24,1.0,16,8.165866790882855,8.165866790882855,2.9027190198795467,0.7044256902385544,0.7044256902385544,0.25040205792117276,11.59223308297782,"{'bias_segment_0_end': {'mean': 0.7044256902385544, 'abs_mean': 0.7044256902385544, 'std': 0.25040205792117276}}"
1,13,23.0,True,0.43275862068965515,0.0,3,6,ATTACK,ATTACK,1,23,23,1.0,15,8.118668110445094,8.118668110445094,2.9030745208329134,0.7271919253894794,0.7271919253894794,0.26002939418567866,11.164409046616939,"{'bias_segment_0_end': {'mean': 0.7271919253894794, 'abs_mean': 0.7271919253894794, 'std': 0.26002939418567866}}"
1,14,18.0,True,0.4027237354085604,0.0,3,6,ATTACK,ATTACK,1,18,18,1.0,11,9.05091926414479,9.05091926414479,2.7347747353233647,1.007609233854714,1.007609233854714,0.30445352515082624,8.98256879754819,"{'bias_segment_0_end': {'mean': 1.007609233854714, 'abs_mean': 1.007609233854714, 'std': 0.30445352515082624}}"
1,15,14.0,True,0.9242424242424242,0.0,0,6,ATTACK,ATTACK,1,14,14,1.0,9,16.659163423031565,16.659163423031565,3.6238453853395955,2.318751885771291,2.318751885771291,0.504394975163205,7.184539029491804,"{'bias_segment_0_end': {'mean': 2.318751885771291, 'abs_mean': 2.318751885771291, 'std': 0.504394975163205}}"
1,16,28.0,False,0.0,0.135,6,4,ATTACK,ATTACK,1,28,28,1.0,19,5.31236788686752,5.31236788686752,3.1629604673150284,0.4001558252418825,0.4001558252418825,0.23825101780596225,13.27574797557014,"{'bias_segment_0_end': {'mean': 0.4001558252418825, 'abs_mean': 0.4001558252418825, 'std': 0.23825101780596225}}"
1,17,32.0,True,0.2300995024875622,0.0,4,6,ATTACK,ATTACK,1,32,32,1.0,23,4.21807937330934,6.037630062757688,5.056004641357721,0.2827928635993825,0.40478107301745897,0.3389699207531867,14.91579143696097,"{'bias_segment_0_end': {'mean': 0.2827928635993825, 'abs_mean': 0.40478107301745897, 'std': 0.3389699207531867}}"
1,18,26.0,False,0.0,0.015,6,5,ATTACK,ATTACK,1,26,26,1.0,16,4.356775856300992,4.356775856300992,2.9876759449826054,0.3502370612686982,0.3502370612686982,0.24017642346244153,12.439505518116826,"{'bias_segment_0_end': {'mean': 0.3502370612686982, 'abs_mean': 0.3502370612686982, 'std': 0.24017642346244153}}"
1,19,24.0,True,0.31167268351383876,0.0,4,6,ATTACK,ATTACK,1,24,24,1.0,15,7.22609641022693,7.22609641022693,2.4542888918854024,0.623356721565392,0.623356721565392,0.211718387157804,11.59223308297782,"{'bias_segment_0_end': {'mean': 0.623356721565392, 'abs_mean': 0.623356721565392, 'std': 0.211718387157804}}"
1,20,39.0,True,0.3333333333333333,0.0,4,6,ATTACK,ATTACK,1,39,39,1.0,30,4.71946689068689,6.06390876541242,5.034713873109947,0.26686170188170305,0.3428830100252725,0.28468730553378074,17.685066299918077,"{'bias_segment_0_end': {'mean': 0.26686170188170305, 'abs_mean': 0.3428830100252725, 'std': 0.28468730553378074}}"
1,21,24.0,True,0.46875,0.0,3,6,ATTACK,ATTACK,1,24,24,1.0,16,8.749935446850568,8.749935446850568,3.0373239993140864,0.7548101719675636,0.7548101719675636,0.2620137101775611,11.59223308297782,"{'bias_segment_0_end': {'mean': 0.7548101719675636, 'abs_mean': 0.7548101719675636, 'std': 0.2620137101775611}}"
1,22,21.0,True,0.5,0.0,3,6,ATTACK,ATTACK,1,21,21,1.0,14,8.655414101512239,8.655414101512239,2.993894649247131,0.8403085630359279,0.8403085630359279,0.2906614612639111,10.300280732879038,"{'bias_segment_0_end': {'mean': 0.8403085630359279, 'abs_mean': 0.8403085630359279, 'std': 0.2906614612639111}}"
1,23,24.0,True,0.25356125356125353,0.0,4,6,ATTACK,ATTACK,1,24,24,1.0,16,5.5754005697092515,5.5754005697092515,3.409218851286008,0.48096001260501214,0.48096001260501214,0.29409509167756015,11.59223308297782,"{'bias_segment_0_end': {'mean': 0.48096001260501214, 'abs_mean': 0.48096001260501214, 'std': 0.29409509167756015}}"
1,24,22.0,True,0.47222222222222227,0.0,3,6,ATTACK,ATTACK,1,22,22,1.0,14,6.818667071112836,6.818667071112836,3.2587774635056137,0.6352539752133705,0.6352539752133705,0.3036005888596387,10.733765292570691,"{'bias_segment_0_end': {'mean': 0.6352539752133705, 'abs_mean': 0.6352539752133705, 'std': 0.3036005888596387}}"
1,25,19.0,True,0.4830638111888112,0.0,2,6,ATTACK,ATTACK,1,19,19,1.0,12,9.793950734412567,9.793950734412567,2.713885762084553,1.0391786029489205,1.0391786029489205,0.2879544824436108,9.424703998542563,"{'bias_segment_0_end': {'mean': 1.0391786029489205, 'abs_mean': 1.0391786029489205, 'std': 0.2879544824436108}}"
