total_steps,episode,episode_reward,win,team_hp,opp_hp,fainted_self,fainted_opp,intent_agent,intent_expert,intent_match,ep_intent_total,ep_intent_matches,ep_imitation_accuracy,ep_turns,bias_mean,bias_abs_mean,bias_std,bias_mean_normalised,bias_abs_mean_normalised,bias_std_normalised,average_discounted_return,bias_segments
1,1,0.0,False,0.0,0.18833333333333335,6,1,3,6,0,28,14,0.5,19,15.643861421804724,15.643861421804724,1.6706753646498944,12.992710875278636,12.992710875278636,1.3875475749926864,-1.20404906812561,"{'bias_segment_0_end': {'mean': 12.992710875278636, 'abs_mean': 12.992710875278636, 'std': 1.3875475749926864}}"
1,2,-10.0,False,0.0,0.16666666666666666,6,5,9,7,0,48,19,0.3958333333333333,36,17.992386835128706,17.992386835128706,6.879409094327583,4.895574615721958,4.895574615721958,1.8718283928623627,-3.675234931022564,"{'bias_segment_0_end': {'mean': 4.895574615721958, 'abs_mean': 4.895574615721958, 'std': 1.8718283928623627}}"
1,3,6.0,True,0.4633838383838384,0.0,3,6,9,9,1,24,15,0.625,16,11.885611833726868,11.885611833726868,1.7354244246072488,4.707820319886856,4.707820319886856,0.6873913168365811,2.524652817253764,"{'bias_segment_0_end': {'mean': 4.707820319886856, 'abs_mean': 4.707820319886856, 'std': 0.6873913168365811}}"
1,4,-3.0,False,0.0,0.06,6,3,4,6,0,25,11,0.44,17,17.188981501793332,17.188981501793332,2.219297992728038,4.423868551402624,4.423868551402624,0.5711730270462059,-3.885509097313351,"{'bias_segment_0_end': {'mean': 4.423868551402624, 'abs_mean': 4.423868551402624, 'std': 0.5711730270462059}}"
1,5,15.0,True,0.6666666666666666,0.0,2,6,8,8,1,25,20,0.8,18,8.695700595337348,8.695700595337348,2.7804472913119254,1.075605641592483,1.075605641592483,0.34392453602752215,8.084469120544,"{'bias_segment_0_end': {'mean': 1.075605641592483, 'abs_mean': 1.075605641592483, 'std': 0.34392453602752215}}"
1,6,2.0,True,0.4658836689038031,0.0,3,6,0,6,0,32,17,0.53125,24,13.337661788221414,13.337661788221414,2.482155366063188,5.412703147140263,5.412703147140263,1.0073107546816042,2.464140638355201,"{'bias_segment_0_end': {'mean': 5.412703147140263, 'abs_mean': 5.412703147140263, 'std': 1.0073107546816042}}"
1,7,6.0,True,0.3333333333333333,0.0,4,6,9,8,0,30,18,0.6,20,13.051338032369085,13.051338032369085,1.9694815631616092,6.916695748222975,6.916695748222975,1.0437477537045077,1.8869325046894267,"{'bias_segment_0_end': {'mean': 6.916695748222975, 'abs_mean': 6.916695748222975, 'std': 1.0437477537045077}}"
1,8,14.0,True,0.24259259259259258,0.0,4,6,9,6,0,26,20,0.7692307692307693,17,9.739242063574583,9.739242063574583,2.1304171854191583,1.8756937632613278,1.8756937632613278,0.41029991879766614,5.192341230927088,"{'bias_segment_0_end': {'mean': 1.8756937632613278, 'abs_mean': 1.8756937632613278, 'std': 0.41029991879766614}}"
1,9,0.0,True,0.0,0.0,6,6,4,6,0,36,18,0.5,25,16.16686933490147,16.16686933490147,2.014716981029525,7.957482632836983,7.957482632836983,0.991662334525939,-2.0316562512104026,"{'bias_segment_0_end': {'mean': 7.957482632836983, 'abs_mean': 7.957482632836983, 'std': 0.991662334525939}}"
1,10,-9.0,False,0.0,0.08166666666666667,6,4,3,6,0,31,11,0.3548387096774194,22,21.067624551875806,21.067624551875806,4.210833680584547,2.8847019519469446,2.8847019519469446,0.576571891519903,-7.3032240081707,"{'bias_segment_0_end': {'mean': 2.8847019519469446, 'abs_mean': 2.8847019519469446, 'std': 0.576571891519903}}"
1,11,10.0,True,0.5387387387387387,0.0,2,6,0,6,0,22,16,0.7272727272727273,15,9.438717799716448,9.438717799716448,3.856372173244644,1.5191180038301615,1.5191180038301615,0.6206652770169244,6.21328808948255,"{'bias_segment_0_end': {'mean': 1.5191180038301615, 'abs_mean': 1.5191180038301615, 'std': 0.6206652770169244}}"
1,12,-30.0,True,0.4501385041551247,0.0,3,6,7,8,0,60,15,0.25,52,34.893336154445166,34.893336154445166,6.0250008979341505,1.967248246508574,1.967248246508574,0.33968298127789065,-17.73712911747312,"{'bias_segment_0_end': {'mean': 1.967248246508574, 'abs_mean': 1.967248246508574, 'std': 0.33968298127789065}}"
1,13,6.0,True,0.04113110539845758,0.0,5,6,3,6,0,32,19,0.59375,22,13.76034497004793,13.76034497004793,1.838889994854415,99.14009811033483,99.14009811033483,13.248776458788504,0.1387969674463484,"{'bias_segment_0_end': {'mean': 99.14009811033483, 'abs_mean': 99.14009811033483, 'std': 13.248776458788504}}"
1,14,-1.0,False,0.0,0.16666666666666666,6,1,9,9,1,19,9,0.47368421052631576,13,15.579140209877401,15.579140209877401,3.2075743967382455,6.400120004222811,6.400120004222811,1.3177146354059877,-2.4341950150306952,"{'bias_segment_0_end': {'mean': 6.400120004222811, 'abs_mean': 6.400120004222811, 'std': 1.3177146354059877}}"
1,15,2.0,True,0.10273972602739727,0.0,5,6,7,6,0,36,19,0.5277777777777778,23,12.689264213033212,12.689264213033212,2.0926148658881454,11.250572100049078,11.250572100049078,1.8553569404069825,1.1278772403918778,"{'bias_segment_0_end': {'mean': 11.250572100049078, 'abs_mean': 11.250572100049078, 'std': 1.8553569404069825}}"
1,16,-14.0,True,0.06424242424242424,0.0,5,6,4,9,0,38,12,0.3157894736842105,27,23.940363553249348,23.940363553249348,5.109061347240481,2.1576820002413473,2.1576820002413473,0.4604662616150361,-11.095408661040649,"{'bias_segment_0_end': {'mean': 2.1576820002413473, 'abs_mean': 2.1576820002413473, 'std': 0.4604662616150361}}"
1,17,-3.0,False,0.0,0.03833333333333334,6,4,5,8,0,35,16,0.45714285714285713,26,16.9644293731045,16.9644293731045,3.1993539491229854,5.109963018514282,5.109963018514282,0.963697628938537,-3.319873218580923,"{'bias_segment_0_end': {'mean': 5.109963018514282, 'abs_mean': 5.109963018514282, 'std': 0.963697628938537}}"
1,18,4.0,False,0.0,0.11833333333333333,6,5,5,7,0,28,16,0.5714285714285714,19,15.637707887085485,15.637707887085485,3.4386454367345536,7.008141727891396,7.008141727891396,1.5410515880338636,-2.2313629624312044,"{'bias_segment_0_end': {'mean': 7.008141727891396, 'abs_mean': 7.008141727891396, 'std': 1.5410515880338636}}"
1,19,0.0,False,0.0,0.03833333333333334,6,3,7,6,0,28,14,0.5,19,13.838931603895976,13.838931603895976,2.5952972610661695,32.50940984273698,32.50940984273698,6.096683236730524,0.4256900285437747,"{'bias_segment_0_end': {'mean': 32.50940984273698, 'abs_mean': 32.50940984273698, 'std': 6.096683236730524}}"
1,20,6.0,True,0.36628643852978454,0.0,3,6,9,9,1,24,15,0.625,16,8.229574518580273,8.229574518580273,2.9492360968003255,1.2543748354899817,1.2543748354899817,0.4495308397041206,6.5606980351815265,"{'bias_segment_0_end': {'mean': 1.2543748354899817, 'abs_mean': 1.2543748354899817, 'std': 0.4495308397041206}}"
1,21,1.0,False,0.0,0.16666666666666666,6,4,9,7,0,25,13,0.52,17,15.953282525220125,15.953282525220125,1.536083954464756,6.992103435645635,6.992103435645635,0.6732443858167653,-2.281614205517975,"{'bias_segment_0_end': {'mean': 6.992103435645635, 'abs_mean': 6.992103435645635, 'std': 0.6732443858167653}}"
1,22,-3.0,True,0.14898989898989898,0.0,5,6,3,7,0,59,28,0.4745762711864407,50,14.106146398170122,14.106146398170122,4.411100931031296,10.92828909526095,10.92828909526095,3.417360407441831,-1.2907918408094863,"{'bias_segment_0_end': {'mean': 10.92828909526095, 'abs_mean': 10.92828909526095, 'std': 3.417360407441831}}"
1,23,4.0,False,0.0,0.041666666666666664,6,4,9,8,0,32,18,0.5625,20,12.486262188863018,12.486262188863018,2.0364038411119023,12.350951752927863,12.350951752927863,2.0143358525246815,1.0109554663188671,"{'bias_segment_0_end': {'mean': 12.350951752927863, 'abs_mean': 12.350951752927863, 'std': 2.0143358525246815}}"
1,24,6.0,True,0.1047008547008547,0.0,5,6,3,6,0,38,22,0.5789473684210527,28,11.861602594197379,11.861602594197379,2.3716453998478273,5.041455668714694,5.041455668714694,1.0080041925441865,2.3528130313246334,"{'bias_segment_0_end': {'mean': 5.041455668714694, 'abs_mean': 5.041455668714694, 'std': 1.0080041925441865}}"
1,25,12.0,False,0.0,0.0,6,4,3,6,0,38,25,0.6578947368421053,30,8.116979299663647,8.116979299663647,4.494796728096357,1.1928884174121428,1.1928884174121428,0.6605648182188076,6.804474904092585,"{'bias_segment_0_end': {'mean': 1.1928884174121428, 'abs_mean': 1.1928884174121428, 'std': 0.6605648182188076}}"
1,26,16.0,True,0.4835766423357664,0.0,3,6,8,9,0,26,21,0.8076923076923077,18,8.324827004089714,8.324827004089714,3.809168943858147,1.0659088702746136,1.0659088702746136,0.4877250858952775,7.81007385926431,"{'bias_segment_0_end': {'mean': 1.0659088702746136, 'abs_mean': 1.0659088702746136, 'std': 0.4877250858952775}}"
1,27,-5.0,False,0.0,0.16666666666666666,6,3,3,6,0,21,8,0.38095238095238093,13,15.87472721509025,15.87472721509025,2.739072964361881,5.806163958203995,5.806163958203995,1.0018129136386875,-2.7341162477266208,"{'bias_segment_0_end': {'mean': 5.806163958203995, 'abs_mean': 5.806163958203995, 'std': 1.0018129136386875}}"
1,28,3.0,False,0.0,0.15833333333333333,6,5,0,9,0,35,19,0.5428571428571428,25,17.554407243223043,17.554407243223043,2.890529475329087,4.315809025695246,4.315809025695246,0.7106462226731944,-4.067466178115968,"{'bias_segment_0_end': {'mean': 4.315809025695246, 'abs_mean': 4.315809025695246, 'std': 0.7106462226731944}}"
1,29,1.0,True,0.20446096654275092,0.0,4,6,9,6,0,27,14,0.5185185185185185,18,16.838367585043457,16.838367585043457,2.467153256886633,7.819063457388326,7.819063457388326,1.1456471523898668,-2.1535018454329946,"{'bias_segment_0_end': {'mean': 7.819063457388326, 'abs_mean': 7.819063457388326, 'std': 1.1456471523898668}}"
1,30,-2.0,True,0.044730392156862746,0.0,5,6,7,6,0,26,12,0.46153846153846156,17,18.089025260245364,18.089025260245364,2.350486926591003,4.1895152796811725,4.1895152796811725,0.5443853801943485,-4.317689291640908,"{'bias_segment_0_end': {'mean': 4.1895152796811725, 'abs_mean': 4.1895152796811725, 'std': 0.5443853801943485}}"
1,31,-20.0,False,0.0,0.05666666666666667,6,2,0,9,0,50,15,0.3,43,22.887662767936494,22.887662767936494,8.040472911702574,3.475278934006024,3.475278934006024,1.2208711047871363,-6.585849136878755,"{'bias_segment_0_end': {'mean': 3.475278934006024, 'abs_mean': 3.475278934006024, 'std': 1.2208711047871363}}"
1,32,19.0,True,0.3785211267605633,0.0,3,6,8,6,0,29,24,0.8275862068965517,21,4.9342930403782574,5.5798796152776635,5.330511789641125,0.4486942060338142,0.5073998713196303,0.48472389775690344,10.997006366528396,"{'bias_segment_0_end': {'mean': 0.4486942060338142, 'abs_mean': 0.5073998713196303, 'std': 0.48472389775690344}}"
1,33,6.0,False,0.0,0.15,6,4,4,7,0,26,16,0.6153846153846154,17,13.922895555578853,13.922895555578853,2.428071059881676,21.700849001499474,21.700849001499474,3.7845003738672633,0.6415829885096577,"{'bias_segment_0_end': {'mean': 21.700849001499474, 'abs_mean': 21.700849001499474, 'std': 3.7845003738672633}}"
1,34,13.0,True,0.028104575163398694,0.0,5,6,8,8,1,27,20,0.7407407407407407,17,6.74928913852478,6.74928913852478,1.7926103280143788,0.9847154164427953,0.9847154164427953,0.26154028808671903,6.854050445260665,"{'bias_segment_0_end': {'mean': 0.9847154164427953, 'abs_mean': 0.9847154164427953, 'std': 0.26154028808671903}}"
1,35,10.0,True,0.46980255516840885,0.0,3,6,7,7,1,32,21,0.65625,24,9.355602454484323,9.355602454484323,2.146869166737174,1.5654861911861209,1.5654861911861209,0.3592386541819504,5.976164150892874,"{'bias_segment_0_end': {'mean': 1.5654861911861209, 'abs_mean': 1.5654861911861209, 'std': 0.3592386541819504}}"
1,36,10.0,False,0.0,0.14333333333333334,6,4,4,7,0,36,23,0.6388888888888888,26,11.58413164319883,11.58413164319883,2.8358209740857254,3.9053949616362598,3.9053949616362598,0.9560492996295563,2.9661869687939006,"{'bias_segment_0_end': {'mean': 3.9053949616362598, 'abs_mean': 3.9053949616362598, 'std': 0.9560492996295563}}"
1,37,25.0,True,0.07541191381495564,0.0,5,6,9,9,1,33,29,0.8787878787878788,19,4.636844140979278,5.263762015256891,4.471891465371924,0.4637623688646202,0.5264646960550173,0.4472643281144157,9.998319079513,"{'bias_segment_0_end': {'mean': 0.4637623688646202, 'abs_mean': 0.5264646960550173, 'std': 0.4472643281144157}}"
1,38,2.0,False,0.0,0.0,6,4,5,8,0,18,10,0.5555555555555556,11,13.42612829745896,13.42612829745896,1.5022714329007414,21.44971438584711,21.44971438584711,2.4000435905142354,0.6259350616956351,"{'bias_segment_0_end': {'mean': 21.44971438584711, 'abs_mean': 21.44971438584711, 'std': 2.4000435905142354}}"
1,39,8.0,False,0.0,0.25166666666666665,6,4,3,6,0,26,17,0.6538461538461539,16,14.451966876486,14.451966876486,2.455261604233778,80.46627892260031,80.46627892260031,13.670510509934442,-0.1796027736088952,"{'bias_segment_0_end': {'mean': 80.46627892260031, 'abs_mean': 80.46627892260031, 'std': 13.670510509934442}}"
1,40,6.0,False,0.0,0.10333333333333333,6,4,4,6,0,26,16,0.6153846153846154,17,15.182683001954086,15.182683001954086,2.3927018205621096,11.107066021000898,11.107066021000898,1.7504084809076201,-1.3669391154466117,"{'bias_segment_0_end': {'mean': 11.107066021000898, 'abs_mean': 11.107066021000898, 'std': 1.7504084809076201}}"
1,41,-6.0,False,0.0,0.06666666666666667,6,2,4,8,0,22,8,0.36363636363636365,15,16.681553014636254,16.681553014636254,3.994438867087812,5.189673078777632,5.189673078777632,1.2426799732111549,-3.2143745398631935,"{'bias_segment_0_end': {'mean': 5.189673078777632, 'abs_mean': 5.189673078777632, 'std': 1.2426799732111549}}"
1,42,-4.0,True,0.2895752895752896,0.0,4,6,6,6,1,38,17,0.4473684210526316,28,9.777046089704402,9.777046089704402,5.915412958558529,2.7059945572634625,2.7059945572634625,1.637209758751285,3.6131063395751264,"{'bias_segment_0_end': {'mean': 2.7059945572634625, 'abs_mean': 2.7059945572634625, 'std': 1.637209758751285}}"
1,43,17.0,True,0.1133525456292027,0.0,5,6,9,7,0,33,25,0.7575757575757576,23,10.006749820558769,10.006749820558769,4.000480554811642,1.9721289965063902,1.9721289965063902,0.7884142047695832,5.074084828267138,"{'bias_segment_0_end': {'mean': 1.9721289965063902, 'abs_mean': 1.9721289965063902, 'std': 0.7884142047695832}}"
1,44,1.0,False,0.0,0.16666666666666666,6,3,0,9,0,27,14,0.5185185185185185,19,15.840874645003215,15.840874645003215,2.222113067509525,6.939871945136042,6.939871945136042,0.973505597495145,-2.2825888964861414,"{'bias_segment_0_end': {'mean': 6.939871945136042, 'abs_mean': 6.939871945136042, 'std': 0.973505597495145}}"
1,45,2.0,False,0.0,0.043333333333333335,6,5,3,6,0,34,18,0.5294117647058824,24,17.5037362285834,17.5037362285834,2.638900243691537,4.757530665071901,4.757530665071901,0.7172553715090039,-3.6791641422491743,"{'bias_segment_0_end': {'mean': 4.757530665071901, 'abs_mean': 4.757530665071901, 'std': 0.7172553715090039}}"
1,46,11.0,True,0.24826388888888887,0.0,4,6,8,8,1,27,19,0.7037037037037037,18,7.811926812751482,7.811926812751482,2.0042161025169,1.161124260939209,1.161124260939209,0.297896280466783,6.727899050556895,"{'bias_segment_0_end': {'mean': 1.161124260939209, 'abs_mean': 1.161124260939209, 'std': 0.297896280466783}}"
1,47,14.0,True,0.12764771460423635,0.0,5,6,9,7,0,38,26,0.6842105263157895,24,12.946383081596997,12.946383081596997,4.301582888086206,20.401975520755816,20.401975520755816,6.77878819359107,0.634565170829956,"{'bias_segment_0_end': {'mean': 20.401975520755816, 'abs_mean': 20.401975520755816, 'std': 6.77878819359107}}"
1,48,12.0,True,0.24935400516795866,0.0,4,6,7,7,1,26,19,0.7307692307692307,17,7.118710759946624,7.118710759946624,2.8310955476805204,0.8071257385287017,0.8071257385287017,0.32099212368955593,8.819828708378477,"{'bias_segment_0_end': {'mean': 0.8071257385287017, 'abs_mean': 0.8071257385287017, 'std': 0.32099212368955593}}"
1,49,13.0,False,0.0,0.14833333333333334,6,2,3,7,0,53,33,0.6226415094339622,46,6.426915698652076,7.173263368254286,6.314332611939411,0.9417302416917203,1.0510919019711529,0.9252335421189294,6.824582469717433,"{'bias_segment_0_end': {'mean': 0.9417302416917203, 'abs_mean': 1.0510919019711529, 'std': 0.9252335421189294}}"
1,50,8.0,True,0.27052710200597524,0.0,3,6,8,9,0,22,15,0.6818181818181818,13,9.818226759438998,9.818226759438998,2.3319797519468786,2.0139120460299025,2.0139120460299025,0.47833506279824306,4.87520136680945,"{'bias_segment_0_end': {'mean': 2.0139120460299025, 'abs_mean': 2.0139120460299025, 'std': 0.47833506279824306}}"
