total_steps,episode,episode_reward,win,bias_mean,bias_abs_mean,bias_std,bias_mean_normalised,bias_abs_mean_normalised,bias_std_normalised,average_discounted_return,bias_segments
1,1,3.0,True,14.193205295705935,14.193205295705935,3.2527463057787913,15.329067831522684,15.329067831522684,3.5130590815242573,-0.9259013954207338,"{'bias_segment_0_end': {'mean': 15.329067831522684, 'abs_mean': 15.329067831522684, 'std': 3.5130590815242573}}"
1,2,21.0,True,3.8448786951948666,4.659220831859051,3.8514269723261196,0.4055745393469309,0.49147489229204055,0.40626528011967444,9.480079053744383,"{'bias_segment_0_end': {'mean': 0.4055745393469309, 'abs_mean': 0.49147489229204055, 'std': 0.40626528011967444}}"
1,3,0.0,True,14.746018868717773,14.746018868717773,3.6102418258481794,9.28322405127585,9.28322405127585,2.272795392913402,-1.5884587926854077,"{'bias_segment_0_end': {'mean': 9.28322405127585, 'abs_mean': 9.28322405127585, 'std': 2.272795392913402}}"
1,4,-18.0,True,24.357908706177597,24.357908706177597,8.126067500099316,1.9702562851364243,1.9702562851364243,0.6572992681203774,-12.362812335599788,"{'bias_segment_0_end': {'mean': 1.9702562851364243, 'abs_mean': 1.9702562851364243, 'std': 0.6572992681203774}}"
1,5,-2.0,True,17.28089717903272,17.28089717903272,5.530721728888489,4.672310177275003,4.672310177275003,1.4953649196475414,3.698576619138614,"{'bias_segment_0_end': {'mean': 4.672310177275003, 'abs_mean': 4.672310177275003, 'std': 1.4953649196475414}}"
1,6,-10.0,False,19.208521770413086,19.208521770413086,6.771960153765436,3.7342324929846535,3.7342324929846535,1.3165028496018625,-5.143900870258971,"{'bias_segment_0_end': {'mean': 3.7342324929846535, 'abs_mean': 3.7342324929846535, 'std': 1.3165028496018625}}"
1,7,16.0,False,7.530355032432595,7.530355032432595,4.351906110923157,1.5318626679103478,1.5318626679103478,0.8852866135609744,4.91581601287075,"{'bias_segment_0_end': {'mean': 1.5318626679103478, 'abs_mean': 1.5318626679103478, 'std': 0.8852866135609744}}"
1,8,10.0,True,7.657846147190679,7.657846147190679,1.9693962446373596,1.0774080778698198,1.0774080778698198,0.27708096790077047,7.107656146713943,"{'bias_segment_0_end': {'mean': 1.0774080778698198, 'abs_mean': 1.0774080778698198, 'std': 0.27708096790077047}}"
1,9,-5.0,True,22.95551542554866,22.95551542554866,2.5877253084105765,3.334981956969154,3.334981956969154,0.37594525991504496,-6.88325026094316,"{'bias_segment_0_end': {'mean': 3.334981956969154, 'abs_mean': 3.334981956969154, 'std': 0.37594525991504496}}"
1,10,8.0,False,9.168874270186251,9.168874270186251,2.445542769629885,3.041968476338269,3.041968476338269,0.8113606745531232,3.0141253407146302,"{'bias_segment_0_end': {'mean': 3.041968476338269, 'abs_mean': 3.041968476338269, 'std': 0.8113606745531232}}"
1,11,10.0,True,10.937815439902625,10.937815439902625,2.230959120880683,4.903828925578808,4.903828925578808,1.0002218385260997,2.230464317963868,"{'bias_segment_0_end': {'mean': 4.903828925578808, 'abs_mean': 4.903828925578808, 'std': 1.0002218385260997}}"
1,12,11.0,True,13.956410344789388,13.956410344789388,4.128040702286007,6.4647135844058665,6.4647135844058665,1.9121393070111397,2.158859810658114,"{'bias_segment_0_end': {'mean': 6.4647135844058665, 'abs_mean': 6.4647135844058665, 'std': 1.9121393070111397}}"
1,13,24.0,True,6.35337510518617,6.556994435965461,3.973590579311915,0.6998232050369927,0.7222518402606761,0.4376903376047998,9.078543065530859,"{'bias_segment_0_end': {'mean': 0.6998232050369927, 'abs_mean': 0.7222518402606761, 'std': 0.4376903376047998}}"
1,14,4.0,False,15.834516535282503,15.834516535282503,3.9543752330355613,3.904564204709533,3.904564204709533,0.9750921003806381,-4.055386390159377,"{'bias_segment_0_end': {'mean': 3.904564204709533, 'abs_mean': 3.904564204709533, 'std': 0.9750921003806381}}"
1,15,0.0,False,15.465185908933083,15.465185908933083,2.478519835495463,4.857750848271282,4.857750848271282,0.7785248689691245,-3.183610356310606,"{'bias_segment_0_end': {'mean': 4.857750848271282, 'abs_mean': 4.857750848271282, 'std': 0.7785248689691245}}"
1,16,9.0,True,5.1205481638770785,5.300023247554115,3.4573901107563776,0.5351665112233119,0.5539240839106523,0.3613440093317102,9.568140114321166,"{'bias_segment_0_end': {'mean': 0.5351665112233119, 'abs_mean': 0.5539240839106523, 'std': 0.3613440093317102}}"
1,17,-1.0,False,14.998179624752664,14.998179624752664,3.325688244726792,7.617279299143304,7.617279299143304,1.6890513952875392,-1.9689680574584512,"{'bias_segment_0_end': {'mean': 7.617279299143304, 'abs_mean': 7.617279299143304, 'std': 1.6890513952875392}}"
